run,attack,epsilon,eps0,eps1,eps2,alpha,malicious_ratio,malicious_count,poison_prob,fixed_offset,scale_k,local_k,clean_edges,protocol_edges,clean_triangles,protocol_triangles,estimate,rel_error_clean,rel_error_protocol,orig_edge_changes,rr_changes,lap_attacked_reports,lap_total_offset,seconds
2,orig_dec,0.5000000000,0.0500000000,0.4316109499,0.0183890501,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,876863,32950647,32681799,29593895.8946315199,0.1018720848,0.0944838779,2239,0,0,0.0000000000,12.1324142990
3,orig_dec,0.5000000000,0.0500000000,0.4321887117,0.0178112883,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,876695,32950647,32688219,27918492.1242422871,0.1527179383,0.1459157770,2407,0,0,0.0000000000,12.1041105980
4,orig_dec,0.5000000000,0.0500000000,0.4321608291,0.0178391709,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,876648,32950647,32660293,28365270.1006358825,0.1391589336,0.1315059513,2454,0,0,0.0000000000,12.2649747000
0,orig_dec,0.5000000000,0.0500000000,0.4320363815,0.0179636185,150.0000000000,0.0800000000,800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,873078,32950647,32285236,34478937.8795847669,0.0463812100,0.0679475250,6024,0,0,0.0000000000,12.3692207030
1,orig_dec,0.5000000000,0.0500000000,0.4323177446,0.0176822554,150.0000000000,0.0800000000,800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,873164,32950647,32263251,29423182.0072491616,0.1070529812,0.0880279855,5938,0,0,0.0000000000,12.2800340010
2,orig_dec,0.5000000000,0.0500000000,0.4321609518,0.0178390482,150.0000000000,0.0800000000,800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,873732,32950647,32348028,26106459.7287098803,0.2077102544,0.1929505029,5370,0,0,0.0000000000,12.1970506990
3,orig_dec,0.5000000000,0.0500000000,0.4317245210,0.0182754790,150.0000000000,0.0800000000,800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,873446,32950647,32373476,30494139.9548399262,0.0745511020,0.0580517225,5656,0,0,0.0000000000,12.1625164990
4,orig_dec,0.5000000000,0.0500000000,0.4322086153,0.0177913847,150.0000000000,0.0800000000,800,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,872853,32950647,32231087,28342941.2173659466,0.1398365799,0.1206334053,6249,0,0,0.0000000000,12.1488922990
0,orig_dec,0.5000000000,0.0500000000,0.4322957113,0.0177042887,150.0000000000,0.1000000000,1000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,869981,32950647,31968448,30637934.0535731725,0.0701871786,0.0416195977,9121,0,0,0.0000000000,12.2159947000
1,orig_dec,0.5000000000,0.0500000000,0.4322089011,0.0177910989,150.0000000000,0.1000000000,1000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,869697,32950647,31862997,33221930.5510652177,0.0082330265,0.0426492697,9405,0,0,0.0000000000,12.2270697010
