dataset,node_num,eps,eps_edge,eps_star,budget_mode,q,m,run,seed,attack_type,malicious_ratio,malicious_count,attack_strength,edge_count_before_attack,edge_count_after_attack,dmax_after_attack,added_edges,removed_edges,rr_forced_reports,selected_pair_count,clean_triangles,true_triangles_after_attack,estimate_triangle,raw_counted_three_times,rel_error_clean,signed_rel_clean,rel_error_attack_true,time_sec
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,4,1780,rr_increase,0.0750000000,750,1.0000000000,879102,879102,3197,0,0,289,49993,32950647,-1,33157116.3774609379,99471349.1323828101,0.0062660189,0.0062660189,nan,30.0520870230
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,4,1780,rr_increase,0.1000000000,1000,1.0000000000,879102,879102,3197,0,0,517,49993,32950647,-1,34993022.6887378469,104979068.0662135482,0.0619828706,0.0619828706,nan,30.3735475130
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,4,1780,rr_increase,0.1250000000,1250,1.0000000000,879102,879102,3197,0,0,792,49993,32950647,-1,31830269.7306898087,95490809.1920694262,0.0340016774,-0.0340016774,nan,29.3552924940
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,4,1780,rr_increase,0.1500000000,1500,1.0000000000,879102,879102,3197,0,0,1146,49993,32950647,-1,41313314.1079031080,123939942.3237093240,0.2537937148,0.2537937148,nan,31.1929979450
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,4,1780,rr_increase,0.1750000000,1750,1.0000000000,879102,879102,3197,0,0,1521,49993,32950647,-1,41394157.7962844595,124182473.3888533711,0.2562471928,0.2562471928,nan,30.0471744040
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,4,1780,rr_increase,0.2000000000,2000,1.0000000000,879102,879102,3197,0,0,1982,49993,32950647,-1,46162014.7974195108,138486044.3922585249,0.4009441088,0.4009441088,nan,29.9277681650
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,4,1780,rr_decrease,0.0250000000,250,1.0000000000,879102,879102,3197,0,0,33,49993,32950647,-1,24386949.2188675888,73160847.6566027701,0.2598946777,-0.2598946777,nan,30.2143450130
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,4,1780,rr_decrease,0.0500000000,500,1.0000000000,879102,879102,3197,0,0,126,49993,32950647,-1,35875996.5544717014,107627989.6634151042,0.0887797303,0.0887797303,nan,28.8106238820
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,4,1780,rr_decrease,0.0750000000,750,1.0000000000,879102,879102,3197,0,0,289,49993,32950647,-1,30380684.4252107851,91142053.2756323516,0.0779942978,-0.0779942978,nan,30.0707828360
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,4,1780,rr_decrease,0.1000000000,1000,1.0000000000,879102,879102,3197,0,0,517,49993,32950647,-1,30964474.3658650033,92893423.0975950062,0.0602771968,-0.0602771968,nan,29.1421654940
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,4,1780,rr_decrease,0.1250000000,1250,1.0000000000,879102,879102,3197,0,0,792,49993,32950647,-1,23773173.0849430971,71319519.2548292875,0.2785218122,-0.2785218122,nan,29.2054012980
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,4,1780,rr_decrease,0.1500000000,1500,1.0000000000,879102,879102,3197,0,0,1146,49993,32950647,-1,28519951.1906717010,85559853.5720151067,0.1344646073,-0.1344646073,nan,30.1691479500
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,4,1780,rr_decrease,0.1750000000,1750,1.0000000000,879102,879102,3197,0,0,1521,49993,32950647,-1,23810088.7653663494,71430266.2960990518,0.2774014797,-0.2774014797,nan,30.5296787470
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,4,1780,rr_decrease,0.2000000000,2000,1.0000000000,879102,879102,3197,0,0,1982,49993,32950647,-1,20656948.7262579612,61970846.1787738875,0.3730942908,-0.3730942908,nan,30.7286248360
Gplus,10000,6.0000000000,3.0000000000,3.0000000000,simple,0.0500000000,10,0,1776,clean,0.0000000000,0,0.0000000000,879102,879102,3197,0,0,0,49995,32950647,-1,38042562.5622990057,114127687.6868970096,0.1545315806,0.1545315806,nan,29.2699999170
Gplus,10000,6.0000000000,3.0000000000,3.0000000000,simple,0.0500000000,10,0,1776,rr_increase,0.0250000000,250,1.0000000000,879102,879102,3197,0,0,40,49995,32950647,-1,38119678.4898194894,114359035.4694584608,0.1568719270,0.1568719270,nan,29.5830555690
Gplus,10000,6.0000000000,3.0000000000,3.0000000000,simple,0.0500000000,10,0,1776,rr_increase,0.0500000000,500,1.0000000000,879102,879102,3197,0,0,128,49995,32950647,-1,38143022.1440300345,114429066.4320901036,0.1575803699,0.1575803699,nan,29.0900786020
Gplus,10000,6.0000000000,3.0000000000,3.0000000000,simple,0.0500000000,10,0,1776,rr_increase,0.0750000000,750,1.0000000000,879102,879102,3197,0,0,291,49995,32950647,-1,39250357.5415387973,117751072.6246163994,0.1911862472,0.1911862472,nan,29.7091679830
Gplus,10000,6.0000000000,3.0000000000,3.0000000000,simple,0.0500000000,10,0,1776,rr_increase,0.1000000000,1000,1.0000000000,879102,879102,3197,0,0,509,49995,32950647,-1,39538412.1900885180,118615236.5702655464,0.1999282500,0.1999282500,nan,29.2598247850
Gplus,10000,6.0000000000,3.0000000000,3.0000000000,simple,0.0500000000,10,0,1776,rr_increase,0.1250000000,1250,1.0000000000,879102,879102,3197,0,0,782,49995,32950647,-1,40501776.4860535786,121505329.4581607431,0.2291648321,0.2291648321,nan,30.4513157080
