run,attack,n,eps,eps1,eps2,delta,h_prime,h,mal_ratio,mal_count,orig_poison_prob,lap_strength,edges_clean,edges_protocol,changed_edges,clean_triangles,protocol_triangles,lambda,max_d_tail,max_c_dagger,estimate,rel_clean,rel_protocol,changed_reports,bias_sum,phase2_noise_sum,time_sec,seed
3,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.05,500,1,0,879102,876922,2180,32950647,32683795,26151.6514284295,2658.00478071504,3922.74771426442,32699590.0697738,0.00761918059533723,0.000483269148328498,0,0,47385.2093213748,3.522722657,20574806
4,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.05,500,1,0,879102,876405,2697,32950647,32625066,25539.8404285394,2668.35709243392,3830.97606428091,31275600.3170688,0.0508350164696669,0.0413628491335828,0,0,-4048397.04879404,3.495827257,20679535
0,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.25,0,879102,1002417,123315,32950647,36579165,25462.6772003373,2693.29973475437,3819.40158005059,35915918.3174319,0.0899912926575289,0.0181318158183237,0,0,-1989740.04770401,4.375587671,20260619
1,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.25,0,879102,1001999,122897,32950647,36796122,25444.9050899324,2708.79286053707,3816.73576348986,35747535.7282853,0.0848811475017563,0.0284971952129818,0,0,-3145758.81514361,4.409264072,20365348
2,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.25,0,879102,1002350,123248,32950647,36694169,25759.3216395389,2693.43971295702,3863.89824593084,36859518.3764986,0.11862806143074,0.00450614855179354,0,0,496048.129495293,4.320728471,20470077
3,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.25,0,879102,1001556,122454,32950647,36772166,25904.2600834536,2702.42537797968,3885.63901251805,36756679.9242907,0.115507077123271,0.000421135804437131,0,0,-46458.2271284011,4.404060272,20574806
4,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.25,0,879102,1000866,121764,32950647,36931997,25330.4532291505,2693.13411966696,3799.56798437258,34201996.0358161,0.0379764632790405,0.0739196681994714,0,0,-8190002.89255137,4.29429737,20679535
0,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.25,0,879102,877359,1743,32950647,32771422,25827.8315611448,2656.29637614577,3874.17473417172,33302634.0644449,0.0106822504712836,0.0162096128890852,0,0,1593636.19333416,3.545963658,20260619
1,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.25,0,879102,876915,2187,32950647,32699336,25346.8005661672,2662.54304712077,3802.02008492508,32819433.736706,0.00398211492763663,0.00367278823967602,0,0,360293.210118019,3.459051257,20365348
2,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.25,0,879102,877111,1991,32950647,32743825,25589.9847127319,2675.65934779764,3838.49770690978,32698684.6051938,0.00764666001266004,0.0013785925989458,0,0,-135421.184419027,3.535954658,20470077
3,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.25,0,879102,876934,2168,32950647,32706723,26674.0291602676,2672.91336003674,4001.10437404013,33297507.3663949,0.0105266632972304,0.0180630864912665,0,0,1772353.09918458,3.601858959,20574806
4,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.25,0,879102,876609,2493,32950647,32651759,26019.1284457826,2678.69080602582,3902.8692668674,31288982.0597678,0.050428901752133,0.0417367082806233,0,0,-4088330.8206964,3.500283557,20679535
0,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.5,0,879102,1125193,246091,32950647,55898691,25462.6772003373,2745.43044869663,3819.40158005059,55235444.3174319,0.676308338268197,0.0118651558865314,0,0,-1989740.04770401,5.49859159,20260619
1,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.5,0,879102,1124893,245791,32950647,56505161,25892.5654273821,2762.21929317056,3883.88481410732,55438126.6152907,0.682459425312367,0.0188838393843234,0,0,-3201103.15412802,5.49008499,20365348
