run,attack,n,eps,eps1,eps2,delta,h_prime,h,mal_ratio,mal_count,orig_poison_prob,lap_strength,edges_clean,edges_protocol,changed_edges,clean_triangles,protocol_triangles,lambda,max_d_tail,max_c_dagger,estimate,rel_clean,rel_protocol,changed_reports,bias_sum,phase2_noise_sum,time_sec,seed
2,orig_increase,10000,2,0.2,1.8,1e-06,100,7,0.2,2000,1,0,7569,2006283,1998714,7790,1331342976,4155.25295603576,2414.50416225605,2493.15177362146,1331260728.59784,170892.546674947,6.17777715012494e-05,0,0,-246742.206496782,8.866509745,20470077
3,orig_increase,10000,2,0.2,1.8,1e-06,100,7,0.2,2000,1,0,7569,2006266,1998697,7790,1331343064,4162.90246450361,2415.49282882707,2497.74147870216,1331275357.2282,170894.424547907,5.08559916939419e-05,0,0,-203120.315435775,8.847326245,20574806
4,orig_increase,10000,2,0.2,1.8,1e-06,100,7,0.2,2000,1,0,7569,2006207,1998638,7790,1331343341,4150.15852200202,2414.74078391453,2490.09511320121,1331596729.41612,170935.679000786,0.000190325371616203,0,0,760165.248373562,8.790421144,20679535
0,orig_decrease,10000,2,0.2,1.8,1e-06,100,2,0.2,2000,1,0,7569,7251,318,7790,6361,751.697574550947,451.018544730568,369.949699784247,-28836.3976166904,4.7017198480989,5.53331199759321,0,0,-105592.192850071,0.0100362,20260619
1,orig_decrease,10000,2,0.2,1.8,1e-06,100,2,0.2,2000,1,0,7569,7219,350,7790,6690,743.184391374457,445.910634824674,361.924595500079,-38400.5152398992,5.92946280358141,6.73998733032873,0,0,-135271.545719698,0.0091398,20365348
2,orig_decrease,10000,2,0.2,1.8,1e-06,100,2,0.2,2000,1,0,7569,7283,286,7790,7031,742.039442251267,445.22366535076,385.921696845392,13518.3198630751,0.735342729534676,0.92267385337436,0,0,19461.9595892254,0.0104725,20470077
3,orig_decrease,10000,2,0.2,1.8,1e-06,100,2,0.2,2000,1,0,7569,7266,303,7790,7096,745.69532872661,447.417197235966,390.977771280528,-37247.9530924217,5.78150874100406,6.24914784278772,0,0,-133031.859277265,0.0095417,20574806
4,orig_decrease,10000,2,0.2,1.8,1e-06,100,2,0.2,2000,1,0,7569,7207,362,7790,6937,750.202228166654,450.121336899993,372.630120073539,-18248.6676929218,3.34257608381538,3.63062818119097,0,0,-75557.003078765,0.0102342,20679535
0,lap_fixed_increase,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11994.2118209498,1799.13177314247,1515.01922487635,-410321.894005253,53.6729003857834,53.6729003857834,500,125,-1254460.68201576,0.0074705,20260619
1,lap_fixed_increase,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11875.7737825719,1781.36606738579,1765.9844938843,-779957.968865312,101.122974180399,101.122974180399,500,125,-2363368.90659594,0.008527101,20365348
2,lap_fixed_increase,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11861.2651865741,1779.18977798611,1520.3604913903,-88723.6005581199,12.3894224079743,12.3894224079743,500,125,-289665.801674359,0.0083467,20470077
3,lap_fixed_increase,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11904.4585929591,1785.66878894386,1585.14422353682,-593487.424073629,77.1858054009793,77.1858054009793,500,125,-1803957.27222088,0.0075169,20574806
4,lap_fixed_increase,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11922.3861499238,1788.35792248857,1524.19821684096,-635159.76718725,82.5352717827022,82.5352717827022,500,125,-1928974.30156175,0.0079514,20679535
0,lap_fixed_decrease,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11994.2118209498,1799.13177314247,1515.01922487635,-410405.227338586,53.6835978611792,53.6835978611792,500,-125,-1254460.68201576,0.0110591,20260619
1,lap_fixed_decrease,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11875.7737825719,1781.36606738579,1765.9844938843,-780041.302198645,101.133671655795,101.133671655795,500,-125,-2363368.90659594,0.008544401,20365348
2,lap_fixed_decrease,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11861.2651865741,1779.18977798611,1520.3604913903,-88806.9338914532,12.4001198833701,12.4001198833701,500,-125,-289665.801674359,0.0074929,20470077
3,lap_fixed_decrease,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11904.4585929591,1785.66878894386,1585.14422353682,-593570.757406962,77.1965028763751,77.1965028763751,500,-125,-1803957.27222088,0.0066045,20574806
4,lap_fixed_decrease,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11922.3861499238,1788.35792248857,1524.19821684096,-635243.100520583,82.545969258098,82.545969258098,500,-125,-1928974.30156175,0.008879601,20679535
0,lap_scale_increase,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11994.2118209498,1799.13177314247,1515.01922487635,89395.265200985,10.4756437998697,10.4756437998697,500,1499276.47761872,-1254460.68201576,0.007925,20260619
1,lap_scale_increase,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11875.7737825719,1781.36606738579,1765.9844938843,-285175.72792482,37.6079239954839,37.6079239954839,500,1484471.72282148,-2363368.90659594,0.0061132,20365348
2,lap_scale_increase,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11861.2651865741,1779.18977798611,1520.3604913903,405454.115549132,51.0480251025844,51.0480251025844,500,1482658.14832176,-289665.801674359,0.008212601,20470077
3,lap_scale_increase,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11904.4585929591,1785.66878894386,1585.14422353682,-97509.9827003345,13.5173276893883,13.5173276893883,500,1488057.32411988,-1803957.27222088,0.0063782,20574806
4,lap_scale_increase,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11922.3861499238,1788.35792248857,1524.19821684096,-138435.344273757,18.7709042713423,18.7709042713423,500,1490298.26874049,-1928974.30156175,0.0070262,20679535
0,lap_scale_decrease,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11994.2118209498,1799.13177314247,1515.01922487635,-910122.386544829,117.832142046833,117.832142046833,500,-1499276.47761872,-1254460.68201576,0.007519,20260619
1,lap_scale_decrease,10000,0.5,0.05,0.45,1e-06,100,2,0.05,500,0,0.25,7569,7569,0,7790,7790,11875.7737825719,1781.36606738579,1765.9844938843,-1274823.54313914,164.648721840711,164.648721840711,500,-1484471.72282148,-2363368.90659594,0.0076971,20365348
